Zip,City,State,Division,Parking,Pets,Food,Lounge
21113,Odenton,MD,MARC,,,,
84401,Ogden,UT,Pacific,N,N,N,N
98840,Okanogan,WA,Pacific,N,N,N,N
34972,Okeechobee,FL,Southern,N,N,N,N
73102,Oklahoma City,OK,Southwest,N,N,N,N
6475,Old Saybrook,CT,Northeast,Y,Y,N,N
68108,Omaha,NE,Central,Y,Y,N,N
98841,Omak,WA,Pacific,N,N,N,N
91764,Ontario,CA,Southwest,N,N,N,N
97914,Ontario,OR,Pacific Northwest,N,N,N,N
92866,Orange,CA,Southwest,N,N,N,N
97045,Oregon City,OR,Pacific Northwest,N,N,N,N
32806,Orlando,FL,Southern,Y,N,N,N
95965,Oroville,CA,Pacific,N,N,N,N
50213,Osceola,IA,Central,N,N,N,N
54902,Oshkosh,WI,Central,N,N,N,N
54901,Oshkosh,WI,Central,N,N,N,N
52501,Ottumwa,IA,Central,Y,N,N,N
48867,Owosso,MI,Central,N,N,N,N
93030,Oxnard,CA,Southwest,Y,N,N,N
32177,Palatka,FL,Southern,N,N,N,N
92260,Palm Desert,CA,Southwest,N,N,N,N
92262,Palm Springs,CA,Southwest,N,N,N,N
92262,Palm Springs,CA,Southwest,N,N,N,N
92262,Palm Springs,CA,Southwest,N,N,N,N
93550,Palmdale,CA,Southwest,N,N,N,N
19301,Paoli,PA,Mid-Atlantic,Y,Y,N,N
19365,Parkesburg,PA,Mid-Atlantic,N,N,N,N
91101,Pasadena,CA,Southwest,N,N,N,N
99301,Pasco,WA,Pacific Northwest,Y,Y,N,N
93446,Paso Robles,CA,Southwest,N,N,N,N
98846,Pateros,WA,Pacific,N,N,N,N
73075,Pauls Valley,OK,Southwest,N,N,N,N
